Schulnummer;Schulname;Angemeldete SuS;Unterrichtete SuS;Unterrichtete Schulen;Freier Träger
07G37;Ikarus Grundschule;Gesamtliste mit 07G23;;;Studienkreis GmbH 
07K01;Sophie-Scholl-Schule;28;;;
07K02;Carl-Zeiss-Schule;49;70;Evtl. nur 24 Schüler*innen;Lehrreich Wilmersdorf
07K03;Gustav-Heinemann-Oberschule;38;18;;tjfbg gGmbH 
07K04;Theodor-Haubach-Schule;23;;;
07K06;Georg-von-Giesche-Schule;28;47;;Lehrreich Wilmersdorf
07K07;Johanna-Eck-Schule;38;38;;
07K09;Gustav-Langenscheidt-Schule;14;;;
07K12;Friedenauer Gemeinschaftschule;42;;;
07Y01;Robert-Blum-Gymnasium;25;;;
07Y02;Rückert-Gymnasium;22;22;;tjfbg gGmbH 
07Y03;Rheingau-Gymnasium;5;5;;Lehrreich Wilmersdorf
07Y04;Paul-Natorp-Gymnasium;1;;;
07Y05;Luise-Henriette-Gymnasium;21;16;L.-Henriette-Gymnasium und Askanisches Gymnasium ;Studienkreis GmbH 
07Y06;Askanisches Gymnasium;4;;;Studienkreis GmbH 
07Y07 ;Eckener-Gymnasium ;;31;;
07Y08;Ulrich-von-Hutten-Schule;23;8;;Studienkreis GmbH 
07Y09;Georg-Büchner-Gymnasium;37;65;;Lernwerk GmbH 
08G01 ;Rixdorfer Schule;27;27;;tjfbg gGmbH 
08G02 ;Theodor-Storm-Grundschule;4;;;
08G03 ;Hans-Fallada-Grundschule;8;;;
08G05 ;Elbe-Schule;5;5;;tjfbg gGmbH 
08G06 ;Karl-Weise-Schule;;14;;IQ Quelle 
08G07 ;Hermann-Boddin-Schule;13;;;tjfbg gGmbH 
08G08 ;Karlsgarten-Schule;;30;;IQ Quelle 
08G09 ;Regenbogen-Schule;18;;;ZGS Bildungs-GmbH (Schülerhilfe) 
08G11 ;Schliemann-Grundschule ;;8;Schliemann-Grundschule und Michael-Ende-Grundschule ;tjfbg gGmbH 
08G13 ;Bruno-Taut-Schule;16;;;
08G17 ;Richard-Grundschule;58;44;;tjfbg gGmbH 
08G19 ;Herman-Nohl-Schule;4;8;;Intellego 
08G20 ;Sonnen-Grundschule;22;24;;tjfbg gGmbH 
08G21 ;Silberstein-Schule;44;;;ZGS Bildungs-GmbH (Schülerhilfe) 
08G22 ;Schule am Regenweiher;18;;;
08G24 ;Schule am Teltowkanal;10;16;;Intellego 
08G25 ;Michael-Ende-Schule;2;2;;tjfbg gGmbH 
08G27 ;Oskar-Heinroth-Schule;14;;;tjfbg gGmbH 
08G28 ;Matthias-Claudius-Grundschule;18;7;;tjfbg gGmbH 
08G33 ;Schule am Fliederbusch;56;112;;Lernstudio Barbarossa Berlin Neukölln Rudow 
08G34 ;Lisa-Tetzner-Schule (Grundschule);7;;;
08G35 ;Schule in der Köllnischen Heide;38;;;
08G36 ;Löwenzahn-Schule;16;;;Studierende machen Schule 
08G37 ;Rose-Oehmichen-Schule;10;4;;tjfbg gGmbH 
08K02 ;Hermann-von-Helmholtz-Schule;37;;;
08K03 ;Otto-Hahn-Schule;51;51;;ProFellow – Verein für Bildungsprojekte e. V. 
08K04 ;Heinrich-Mann-Schule;60;59;;Model eV 
08K05 ;Clay-Schule;35;;;Studierende machen Schule 
08K06 ;Fritz-Karsen-Schule (Gemeinschaftsschule);76;80;;Studierende machen Schule 
08K08 ;Gemeinschaftsschule auf dem Campus Rütli - Weiterführend Schule;14;8;;Studienkreis GmbH 
